name,image,category,sub_category,sub_category_id
"Blends Thermal Protection Conditioner For Colored Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311102-350x350.jpg,Hair Care,Conditioner,1
"Blends Total Repair Conditioner For Weak Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311089-350x350.jpg,Hair Care,Conditioner,1
"Cameleo Liquid Keratin Colour Protection Leave In Conditioner, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5901350435908-350x350.jpg,Hair Care,Conditioner,1
"Chi Enviro Smoothing Conditioner, 355 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/633911709979-350x350.jpg,Hair Care,Conditioner,1
"Chi Power Plus Nourish Conditioner, 355 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/633911789223-350x350.jpg,Hair Care,Conditioner,1
"Chi Rose Hip Oil Coloring Nurture Protecting Conditioner, 340 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/633911772683-350x350.jpg,Hair Care,Conditioner,1
"Dabur Vatika Moisture Treatment Henna Conditioner, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851453-274x350.jpg,Hair Care,Conditioner,1
"Dove Daily Care Conditioner, 400 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281006442023-350x350.png,Hair Care,Conditioner,1
"Dove Intensive Repair Conditioner, 400 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281006442009-350x350.jpeg,Hair Care,Conditioner,1
"E Keratin Damaged Hair Conditioner, 230Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223001382379-350x350.jpg,Hair Care,Conditioner,1
"E Keratin Leave In Cream For Damaged Hair, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223001382836-350x350.jpg,Hair Care,Conditioner,1
"Episilk Dry And Damaged Hair Conditioner With Hyaluronic Acid, 295 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/858259000162-350x350.jpg,Hair Care,Conditioner,1
"Eva E Keratin Anti Dandruff Moisturizing Conditioner, 230Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223004373176.jpg,Hair Care,Conditioner,1
"Ever Pure Argan Oil Conditioner, 385Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636787-350x350.jpg,Hair Care,Conditioner,1
"Ever Pure Biotin And Collagen Conditioner, 385 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636896.jpg,Hair Care,Conditioner,1
"Ever Pure Brazilian Keratin Conditioner, 385Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636903-1-scaled-1-350x350.jpg,Hair Care,Conditioner,1
"Ever Pure Teatree Mint Conditioner, 385Ml",https://www.yodawy.com/wp-content/uploads/2021/02/639828-350x350.jpg,Hair Care,Conditioner,1
"Foltene Nourishing & Hydrating Conditioner For Women, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8013134002613-350x350.jpg,Hair Care,Conditioner,1
"Gliss Hair Repair Million Gloss Conditioner, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/9000100829885-226x350.jpg,Hair Care,Conditioner,1
"Gliss Intense Therapy Conditioner, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281031259641-350x350.jpg,Hair Care,Conditioner,1
"Gliss Serum Deep Repair Conditioner, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4015001004144-350x350.jpg,Hair Care,Conditioner,1
"Gliss Total Repair Conditioner For Dry Hair, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5012583009658-350x350.jpg,Hair Care,Conditioner,1
"Gliss Ultimate Oil Elixir Hair Conditioner, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/9000100801331-350x350.jpg,Hair Care,Conditioner,1
"Gliss Ultimate Repair Conditioner For Dry Hair, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/9000100662987-350x350.jpg,Hair Care,Conditioner,1
"Global Keratin Balancing Conditioner, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/850704002967-350x350.jpg,Hair Care,Conditioner,1
"Global Keratin Color Protection Moisturizing Conditioner, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/850704002318-350x350.jpg,Hair Care,Conditioner,1
"Global Keratin Hair Taming Deep Conditioner, 200Gm",https://www.yodawy.com/wp-content/uploads/2021/02/850704002134-350x350.jpg,Hair Care,Conditioner,1
"Global Keratin Leave In Conditioner Cream, 130Ml",https://www.yodawy.com/wp-content/uploads/2021/02/850704002189-350x350.jpg,Hair Care,Conditioner,1
"Head And Shoulders Anti Dandruff Refreshing Menthol Conditioner, 360Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076896547.jpg,Hair Care,Conditioner,1
"Herbal Dazzling Shine Normal Hair Conditioner, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5011321624993-350x350.jpg,Hair Care,Conditioner,1
"Herbal Essences Beautiful Ends Conditioner, 360Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4084500635708-213x350.jpg,Hair Care,Conditioner,1
"Herbal Essences Bee Strong Conditiober, 360Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076952625-350x350.jpg,Hair Care,Conditioner,1
"Herbal Essences Body Envy Volumizing Conditioner, 360Ml",https://www.yodawy.com/wp-content/uploads/2021/02/381519019333-224x350.jpg,Hair Care,Conditioner,1
"Herbal Essences Moisturizing Conditioner, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4015600942861-247x350.png,Hair Care,Conditioner,1
"Herbal Essences Shine Conditioner, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4015600942823-350x350.jpg,Hair Care,Conditioner,1
"Herbal White Strawberry & Sweet Mint Conditioner, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8001090662262-350x350.jpg,Hair Care,Conditioner,1
"Lovea Shea Oil Instant Conditioner For All Hair Types, 250Ml",https://www.yodawy.com/wp-content/uploads/2021/02/3248140000826.jpeg,Hair Care,Conditioner,1
"Mink Italian Deep Conditioner Cream With Keratin, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6222014504709-350x350.jpg,Hair Care,Conditioner,1
"Natura Keratin Nutritive Conditioner, 354Ml",https://www.yodawy.com/wp-content/uploads/2021/02/2703511-206x350.jpg,Hair Care,Conditioner,1
"Natura Nutritive Conditioner, 1000Ml",https://www.yodawy.com/wp-content/uploads/2021/02/2703913-217x350.jpg,Hair Care,Conditioner,1
"Naturia, Organic Leave-In Conditioner,180 ML",https://www.yodawy.com/wp-content/uploads/2021/02/642337994739-2-350x350.jpg,Hair Care,Conditioner,1
Neuth Conditioner,https://www.yodawy.com/wp-content/uploads/2020/12/5997570705280-350x350.jpg,Hair Care,Conditioner,1
"Ogx Argan Oil Of Morocco Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796976123-350x350.jpg,Hair Care,Conditioner,1
"Ogx Biotin & Collagen Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796976710-350x350.jpg,Hair Care,Conditioner,1
"Ogx Brazilian Keratin Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796976024-350x350.jpg,Hair Care,Conditioner,1
"Ogx Coconut Milk Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796970060-350x350.jpg,Hair Care,Conditioner,1
"Ogx Keratin Oil Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796977526-350x350.jpg,Hair Care,Conditioner,1
"Ogx Kukui Oil Conditioner, 385 ml",https://www.yodawy.com/wp-content/uploads/2020/12/22796974228-350x350.jpg,Hair Care,Conditioner,1
"Pantene Milky Damage Repair Conditioner, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/280545-350x350.jpg,Hair Care,Conditioner,1
"Pantene Nature Fusion Conditioner, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5013965623011-350x350.jpg,Hair Care,Conditioner,1
"Pantene Nature Fusion Conditioner, 360Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5013965562952-350x350.jpeg,Hair Care,Conditioner,1
"Pantene Pro-V Anti Hair Fall Conditioner, 360 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5000174926651.jpg,Hair Care,Conditioner,1
"Pantene Pro-V Sheer Volume Conditioner, 360 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5000174926538-202x350.jpg,Hair Care,Conditioner,1
"Pantene Pro-V Smooth & Silky Conditioner, 360 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5000174926477-350x350.jpg,Hair Care,Conditioner,1
"Pantene Smooth And Silky Conditioner, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/280547-350x350.jpg,Hair Care,Conditioner,1
"Phyto Baume Repairing Express Conditioner For Damaged Hair, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/618059102417.jpg,Hair Care,Conditioner,1
"Phyto Baume Volume Conditioner For Fine Hair, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/618059102264-350x350.jpg,Hair Care,Conditioner,1
"Proker Keratin Hair Conditioner, 250Ml",https://www.yodawy.com/wp-content/uploads/2021/02/2703705-350x350.jpg,Hair Care,Conditioner,1
"Seba Med Hair Repair Conditioner For All Hair Types, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4103040119896.jpg,Hair Care,Conditioner,1
"Sunsilk Conditioner Coconut Moisture, 350ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281006444218-350x350.jpg,Hair Care,Conditioner,1
"Sunsilk Conditioner Honey Anti-Breakage, 350ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281006444157-350x350.jpg,Hair Care,Conditioner,1
"Syoss Ceramide Comolex Anti Breakage Conditioner, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6192430012440-350x350.jpg,Hair Care,Conditioner,1
"Syoss Keratin Hair Perfection Conditioner, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6192430009235-350x350.jpg,Hair Care,Conditioner,1
"Syoss Oleo 21 Intense Care Conditioner, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281031248706.jpg,Hair Care,Conditioner,1
"Syoss Purify & Care Roots Conditioner For Oily Hair, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6192430013799-245x350.jpg,Hair Care,Conditioner,1
"Syoss Repair Therapy Conditioner For Dry & Damaged Hair, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4015000944052-350x350.jpg,Hair Care,Conditioner,1
"Syoss Shine Boost Conditioner For Dull Hair, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6192430005107-227x350.jpg,Hair Care,Conditioner,1
"Treato Frizz Control Conditioner, 250Ml",https://www.yodawy.com/wp-content/uploads/woocommerce-placeholder.png,Hair Care,Conditioner,1
"Tresemmé Conditioner Botanix, 500Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8710908182198.jpg,Hair Care,Conditioner,1
"Villa Borghini Conditioner Spray, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8034097432033.jpg,Hair Care,Conditioner,1
"Villa Borghini Reintegrating Mask, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/285411-350x141.jpg,Hair Care,Conditioner,1
"Bioblas Anti Hair Loss Styling Cream, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8697432094664-1-350x350.jpg,Hair Care,Hair Styling,2
"Bioblas anti-hair loss styling gel Extreme Hard & Firm look, 150Ml",https://www.yodawy.com/wp-content/uploads/2020/12/202005100151-210x350.jpg,Hair Care,Hair Styling,2
"Bioblas anti-hair loss styling gel Wet sensation Wet look, 150Ml",https://www.yodawy.com/wp-content/uploads/2020/12/202005100143-350x350.jpg,Hair Care,Hair Styling,2
"Dabur Amla Nourishing And Moisturising Cream For Dry And Rough Hair, 125 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851002-350x350.png,Hair Care,Hair Styling,2
"Dabur Amla Snake Oil Anti Frizz Hair Serum, 50Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851392-350x350.jpg,Hair Care,Hair Styling,2
"Dabur Amla Styling Cream For Weak & Falling Hair, 125Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6291069207453-350x350.jpg,Hair Care,Hair Styling,2
"Dabur Vatika Henna And Almond Hair Styling Cream, 70Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6291069654509-350x350.jpg,Hair Care,Hair Styling,2
"Dabur Vatika Lemon And Almond Hair Styling Cream, 70Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655001-350x350.jpg,Hair Care,Hair Styling,2
"Dabur Vatika Olive Cactus Cream, 70Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655100-350x350.jpg,Hair Care,Hair Styling,2
"Dax Hair Food Plus 4, 213 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315009011-350x350.jpg,Hair Care,Hair Styling,2
"Dax High And Tight Awesome Hold Hair Dress, 99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315000421-350x350.jpg,Hair Care,Hair Styling,2
"Dax High And Tight Awesome Shin Hair Dress, 99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315000438-350x350.jpg,Hair Care,Hair Styling,2
"Dax Neat Waves Hair Dress ,99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315000155-350x350.jpg,Hair Care,Hair Styling,2
"Dax Pressing Oil Coconut And Castor Oil, 99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315001022-350x350.jpg,Hair Care,Hair Styling,2
"Dax Pure Lanolin Super Hair Conditioner, 397 Ml",https://www.yodawy.com/wp-content/uploads/2020/12/77315006034-350x350.jpg,Hair Care,Hair Styling,2
"Dax Short And Neat Blue Light Hair Dress ,99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315009059-350x350.jpg,Hair Care,Hair Styling,2
Dax Super-Neat Hair Cream 99G,https://www.yodawy.com/wp-content/uploads/2021/02/77315000049-350x338.jpg,Hair Care,Hair Styling,2
"Dax Wave And Groom Red Hair Dress ,99 Gm",https://www.yodawy.com/wp-content/uploads/2020/12/77315009042-350x350.jpg,Hair Care,Hair Styling,2
Db Hair Brush - 2212,https://www.yodawy.com/wp-content/uploads/2021/02/196005999994-209x350.jpg,Hair Care,Hair Styling,2
"Enliven Pro-Vitamin Ultra Mousse, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5055028381728-350x350.jpg,Hair Care,Hair Styling,2
"Enliven Ultra Hold Hair Spray, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5055028381735-112x350.jpg,Hair Care,Hair Styling,2
"Eva  Almond Oil Hair Styling Cream, 185 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375262-350x350.jpg,Hair Care,Hair Styling,2
"Eva  Almond Oil Hair Styling Cream, 45 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375248.jpg,Hair Care,Hair Styling,2
"Eva  Almond Oil Hair Styling Cream, 85 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375255.jpg,Hair Care,Hair Styling,2
"Eva  Olive Oil Hair Styling Cream, 85 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375224-350x350.jpg,Hair Care,Hair Styling,2
"Eva Amla Extract Hair Styling Cream, 45 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375279-350x350.jpg,Hair Care,Hair Styling,2
"Eva Amla Extract Hair Styling Cream,185 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375293-350x350.jpg,Hair Care,Hair Styling,2
"Eva Amla Extract Hair Styling Cream,85 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375286-350x350.jpg,Hair Care,Hair Styling,2
"Eva E Keratin Dual Action Sun Protection Serum, 100Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223001382683.jpg,Hair Care,Hair Styling,2
"Eva Hair Cream With Aloevera, 100 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/200346-350x350.jpg,Hair Care,Hair Styling,2
"Eva Hair Cream With Aloevera, 200 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/200345-350x350.jpg,Hair Care,Hair Styling,2
"Eva Hair Cream With Aloevera, 50 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/280591-350x350.jpg,Hair Care,Hair Styling,2
"Eva Honey Hair Cream, 185Gm",https://www.yodawy.com/wp-content/uploads/2021/02/282108.jpg,Hair Care,Hair Styling,2
"Eva Honey Hair Cream, 85Gm",https://www.yodawy.com/wp-content/uploads/2021/02/282107-350x350.jpg,Hair Care,Hair Styling,2
"Eva Oil Replacement For Damaged Colored Hair, 250Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223004371615.jpg,Hair Care,Hair Styling,2
"Eva Oil Replacement For Normal Hair, 250Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223004371608.png,Hair Care,Hair Styling,2
"Eva Olive Oil Hair Styling Cream, 185 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375231-350x316.jpg,Hair Care,Hair Styling,2
"Eva Olive Oil Hair Styling Cream, 45 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6223004375217-350x350.jpg,Hair Care,Hair Styling,2
"Ever Pure Argan Oil Anti Frizz Hair Styling Serum, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636788-216x350.jpg,Hair Care,Hair Styling,2
"Ever Pure Biotin & Collagen Hair Serum, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636897-213x350.jpg,Hair Care,Hair Styling,2
"Ever Pure Shea Butter Hair Serum, 150 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/639825-213x350.jpg,Hair Care,Hair Styling,2
Ever Pure Teatree Mint Hr Serum 150M,https://www.yodawy.com/wp-content/uploads/2021/02/639830-350x350.jpg,Hair Care,Hair Styling,2
"Ever Pure Teatree Mint Shampoo, 385 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/636900-350x350.jpg,Hair Care,Hair Styling,2
"Every Strand Argan Oil Polisher, 175Ml",https://www.yodawy.com/wp-content/uploads/2021/02/815426116064-350x350.jpg,Hair Care,Hair Styling,2
"Fash Kool Deep Nourishment Hair Styling Cream, 140Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144684.jpg,Hair Care,Hair Styling,2
"Fash Kool Deep Nourishment Hair Styling Cream, 210 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144677-350x350.jpg,Hair Care,Hair Styling,2
"Fash Kool Fall Control Hair Styling Cream, 140Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144622.jpg,Hair Care,Hair Styling,2
"Fash Kool Fall Control Hair Styling Cream, 210Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144615.jpg,Hair Care,Hair Styling,2
"Fash Kool Wheat Brotein Hair Styling Cream, 210Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144653.jpg,Hair Care,Hair Styling,2
"G.K. Thermal Style Protection Hair Cream, 100Ml",https://www.yodawy.com/wp-content/uploads/2021/02/815401013562-350x350.jpg,Hair Care,Hair Styling,2
"Global Keratin Hair Taming System Serum, 50Ml",https://www.yodawy.com/wp-content/uploads/2021/02/850704002165-119x350.jpg,Hair Care,Hair Styling,2
"Hair Code Extra Hold Blue Cream Gel, 80Ml",https://www.yodawy.com/wp-content/uploads/2021/02/276665-350x350.jpg,Hair Care,Hair Styling,2
"Hair Code Style And Care Cream Gel, 100Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224001031632-350x350.jpg,Hair Care,Hair Styling,2
"Hair Code Style And Care Cream Gel, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224001031649-350x350.jpg,Hair Care,Hair Styling,2
"Hair Code Style And Care hair Food Cream ,150 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224001031915-350x350.jpg,Hair Care,Hair Styling,2
"Himalaya Anti Dandruff Hair Cream, 140Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138507565-200x350.png,Hair Care,Hair Styling,2
"Himalaya Anti Dandruff Hair Cream, 210Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138821791-200x350.png,Hair Care,Hair Styling,2
"Himalaya Anti Dandruff Hair Cream, 70Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138831691-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Extra Nourishment Hair Cream, 140Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138507558-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Extra Nourishment Hair Cream, 210Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138821784-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Extra Nourishment Hair Cream, 70Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138831714-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Soft & Shine Hair Cream, 140Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138815721-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Soft & Shine Hair Cream, 210Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138821777-200x350.png,Hair Care,Hair Styling,2
"Himalaya Protein Soft & Shine Hair Cream, 70Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8901138831721-200x350.png,Hair Care,Hair Styling,2
"J.Casanova Dandruff Control Hair Cream, 220M",https://www.yodawy.com/wp-content/uploads/2021/02/6281056586364.jpg,Hair Care,Hair Styling,2
"J.Casanova Hair Food Nutritive Cream, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6281056587040-350x350.jpg,Hair Care,Hair Styling,2
"Mink Hair Food With Mink Oil Strong Shiny Hair, 300Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6223003445096.jpg,Hair Care,Hair Styling,2
"Motions Hair & Scalp Daily Moisturizer, 170Gm",https://www.yodawy.com/wp-content/uploads/2021/02/87300600208.jpg,Hair Care,Hair Styling,2
"Naturia, Blow Out Keratin Express, 240M",https://www.yodawy.com/wp-content/uploads/2021/02/2704869-350x350.jpg,Hair Care,Hair Styling,2
"New Back Black Hair Colour Cream, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/2701867.jpg,Hair Care,Hair Styling,2
"Ogx Coconut Milk Anti-Breakage Serum, 118 ml",https://www.yodawy.com/wp-content/uploads/2021/02/574661563411-350x350.jpg,Hair Care,Hair Styling,2
"Palmers Coconut Oil Formula Cream, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/10181023002.jpg,Hair Care,Hair Styling,2
"Palmers Hair Food Formula Cream, 150Gm",https://www.yodawy.com/wp-content/uploads/2021/02/10181066962.jpg,Hair Care,Hair Styling,2
"Palmers Hair Food Formula, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/262593-350x350.jpg,Hair Care,Hair Styling,2
"Palmers Hair Food Formula, 50Gm",https://www.yodawy.com/wp-content/uploads/2021/02/10181066221-350x350.jpg,Hair Care,Hair Styling,2
"Palmers Soft Formula Cream, 100Gm",https://www.yodawy.com/wp-content/uploads/2021/02/10181060007-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Anti Hair Fall Oil Replacement, 350 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4902430999601-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Anti-Hair Fall Oil Replacement, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4902430260640-254x350.jpg,Hair Care,Hair Styling,2
"Pantene Color Hair Repair Oil Replacement, 375Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076691555-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Daily Care Oil Replacement, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137034-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Milky Oil Replacement For Damaged Hair, 375Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076691654-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Moisture Renewal Oil Replacement, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4015600830113-302x350.jpg,Hair Care,Hair Styling,2
"Pantene Nature Fusion Oil Replacement, 180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869886-248x350.jpg,Hair Care,Hair Styling,2
"Pantene Nature Fusion Oil Replacement, 375Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869954.jpg,Hair Care,Hair Styling,2
"Pantene Night Hair Oil Replacement, 150 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5013965918162.png,Hair Care,Hair Styling,2
"Pantene Oil Replacement Sheer Volume, 200 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137065-350x350.jpg,Hair Care,Hair Styling,2
"Pantene Smooth & Silky Oil Replacement, 200Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5410076869589.jpg,Hair Care,Hair Styling,2
"Pantene Smooth And Silky Oil Replacement,180Ml",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137102-344x350.jpg,Hair Care,Hair Styling,2
"Pert Plus All Hair Type Olive Oil Cream, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/5011321420991.jpg,Hair Care,Hair Styling,2
"Phyto 7 Daily Hydrating Day Cream For Dry Hair, 50Ml",https://www.yodawy.com/wp-content/uploads/2021/02/618059162015-350x350.jpg,Hair Care,Hair Styling,2
